subsets,resolution,astar,total,num_points,cost,path_length
100.000000,6000.000000,8.128388,8.128472,11161732.000000,1130.890453,867.379902
200.000000,6000.000000,13.964906,13.965002,11161732.000000,1130.890453,867.379902
300.000000,6000.000000,19.401564,19.401671,11161732.000000,1181.719807,857.317254
400.000000,6000.000000,24.484795,24.484881,11161732.000000,1181.719807,857.317254
500.000000,6000.000000,31.189202,31.189304,11161732.000000,1181.719807,857.317254
600.000000,6000.000000,36.366015,36.366110,11161732.000000,1195.130688,844.118510
700.000000,6000.000000,42.501325,42.501419,11161732.000000,1195.130688,844.118510
800.000000,6000.000000,48.059421,48.059508,11161732.000000,1195.130688,844.118510
900.000000,6000.000000,54.091092,54.091195,11161732.000000,1195.130688,844.118510
1000.000000,6000.000000,59.808599,59.808696,11161732.000000,1229.324851,902.493736
1100.000000,6000.000000,65.603822,65.603911,11161732.000000,1229.324851,902.493736
1200.000000,6000.000000,71.286114,71.286204,11161732.000000,1229.324851,902.493736
1300.000000,6000.000000,77.174289,77.174381,11161732.000000,1229.324851,902.493736
1400.000000,6000.000000,82.795001,82.795092,11161732.000000,1229.324851,902.493736
1500.000000,6000.000000,89.055828,89.055926,11161732.000000,1212.134683,888.202300
1600.000000,6000.000000,94.532782,94.532868,11161732.000000,1212.134683,888.202300
1700.000000,6000.000000,100.254297,100.254383,11161732.000000,1212.134683,888.202300
1800.000000,6000.000000,105.935748,105.935844,11161732.000000,1212.134683,888.202300
1900.000000,6000.000000,111.259421,111.259516,11161732.000000,1212.134683,888.202300
2000.000000,6000.000000,117.104629,117.104719,11161732.000000,1212.134683,888.202300
2100.000000,6000.000000,122.986539,122.986635,11161732.000000,1205.578522,905.871789
2200.000000,6000.000000,128.754685,128.754778,11161732.000000,1205.578522,905.871789
2300.000000,6000.000000,134.639152,134.639255,11161732.000000,1205.578522,905.871789
2400.000000,6000.000000,140.068469,140.068566,11161732.000000,1205.578522,905.871789
2500.000000,6000.000000,145.868661,145.868751,11161732.000000,1205.578522,905.871789
