classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,3495.8554971129124,-12333893.807768645,4636579.21280859,1403.3196649601596,0.07617303730830854,1,1,216
Ground,Point Cloud,3495.783281007989,-12333893.719213828,4636578.803846343,1403.2295000554332,0.0754406042572671,1,1,216
Unclassified,Point Cloud,3496.1236220029787,-12333894.152327387,4636578.868249851,1403.329325485666,0.07641718165865569,1,1,216
Ground,Point Cloud,3496.555210896233,-12333894.701367255,4636578.972905541,1403.3196649601596,0.0742198825055314,1,1,216
Ground,Point Cloud,3497.4867737843706,-12333895.886391718,4636579.204758156,1403.4887241565218,0.07129015030136568,1,1,216
Ground,Point Cloud,3497.405455617638,-12333895.786566285,4636578.757153805,1403.369577675276,0.0776379034103914,1,1,216
Ground,Point Cloud,3498.4677902333315,-12333897.135819681,4636579.272381833,1403.6191412508583,0.08032349126420997,1,1,216
Ground,Point Cloud,3498.3851977525737,-12333897.034384163,4636578.823167395,1403.4790636310154,0.07617303730830854,1,1,216
Ground,Point Cloud,3498.7653861524705,-12333897.519020528,4636578.799016083,1403.5692285357418,0.07031357289997711,1,1,216
Ground,Point Cloud,3498.8480535151793,-12333897.620456045,4636579.259501134,1403.6593934404684,0.06518654154268712,1,1,216
Ground,Point Cloud,3499.2172022972627,-12333898.092211707,4636579.0952722,1403.609480725352,0.07568474860761425,1,1,216
Ground,Point Cloud,3499.495596590812,-12333898.449651152,4636578.774864767,1403.6191412508583,0.08007934691386283,1,1,216
Ground,Point Cloud,3499.9572649377988,-12333899.035723032,4636579.032478781,1403.5998201998455,0.06762798504615854,1,1,216
Unclassified,Point Cloud,3496.955852516283,-12333895.21176502,4636578.984176154,1403.429150915899,0.07324330510414283,1,1,216
Ground,Point Cloud,3497.9060286699787,-12333896.422550881,4636578.974515632,1403.5386368716381,0.08252079041733425,1,1,216
Ground,Point Cloud,3499.567812695739,-12333898.538205968,4636579.183827016,1403.6674438783903,0.07104600595101854,1,1,216
Ground,Point Cloud,3478.562874567535,-12333871.778550316,4636578.639617413,1404.817046413653,0.08960097657740139,1,1,216
Ground,Point Cloud,3478.6363542909276,-12333871.86871522,4636579.04857966,1404.7977253626402,0.09033340962844282,1,1,216
