subsets,resolution,astar,total,num_points,cost
250.0,6000.0,17.438111,17.438209,11161732.0,1163.474553
500.0,6000.0,31.765031,31.76513,11161732.0,1163.474553
750.0,6000.0,46.100126,46.100237,11161732.0,1212.1346829999998
1000.0,6000.0,60.123015,60.123127,11161732.0,1212.1346829999998
1250.0,6000.0,74.514769,74.514868,11161732.0,1212.1346830000002
1500.0,6000.0,88.926584,88.926702,11161732.0,1235.5170150000004
1750.0,6000.0,103.365484,103.365577,11161732.0,1235.5170149999994
2000.0,6000.0,117.300751,117.300837,11161732.0,1235.5170150000013
2250.0,6000.0,131.355177,131.355276,11161732.0,1235.5170149999994
2500.0,6000.0,145.872098,145.872199,11161732.0,1234.7751680000001
2750.0,6000.0,159.984033,159.984141,11161732.0,1234.7751669999998
3000.0,6000.0,174.66476,174.664851,11161732.0,1234.7751680000001
3250.0,6000.0,189.453791,189.453895,11161732.0,1234.7751680000001
3500.0,6000.0,202.723737,202.723826,11161732.0,1234.775166999998
3750.0,6000.0,217.397815,217.397922,11161732.0,1223.3402860000024
4000.0,6000.0,231.145721,231.145824,11161732.0,1223.3402859999987
4250.0,6000.0,246.985336,246.985441,11161732.0,1223.3402859999987
4500.0,6000.0,260.267959,260.268062,11161732.0,1223.340285000002
4750.0,6000.0,275.091108,275.09121,11161732.0,1223.3402859999987
5000.0,6000.0,289.019126,289.019222,11161732.0,1223.3402860000024
5250.0,6000.0,302.891943,302.892044,11161732.0,1205.4580519999981
5500.0,6000.0,317.428339,317.428449,11161732.0,1205.4580520000018
5750.0,6000.0,331.998707,331.998817,11161732.0,1205.4580519999981
6000.0,6000.0,346.665825,346.665924,11161732.0,1205.4580520000018
250.0,5500.0,17.201251,17.201355,11161732.0,1163.474553
500.0,5500.0,31.413438,31.413537,11161732.0,1163.474553
750.0,5500.0,45.709684,45.709766,11161732.0,1212.1346829999966
1000.0,5500.0,60.067713,60.067818,11161732.0,1212.1346830000039
1250.0,5500.0,74.067384,74.067467,11161732.0,1212.1346829999966
1500.0,5500.0,88.808617,88.808711,11161732.0,1235.517015000005
1750.0,5500.0,102.481354,102.481452,11161732.0,1235.5170149999976
2000.0,5500.0,117.309872,117.309961,11161732.0,1235.5170149999976
2250.0,5500.0,131.738204,131.738302,11161732.0,1235.517015000005
2500.0,5500.0,146.084754,146.084858,11161732.0,1234.7751680000001
2750.0,5500.0,159.726214,159.726306,11161732.0,1234.7751680000001
3000.0,5500.0,174.787386,174.787503,11161732.0,1234.7751669999998
3250.0,5500.0,187.899832,187.899931,11161732.0,1234.7751680000001
3500.0,5500.0,203.262728,203.262825,11161732.0,1234.7751669999998
3750.0,5500.0,217.776371,217.776455,11161732.0,1223.3402859999987
4000.0,5500.0,231.595235,231.595315,11161732.0,1223.3402859999987
4250.0,5500.0,246.582899,246.582988,11161732.0,1223.3402859999987
4500.0,5500.0,260.159481,260.159562,11161732.0,1223.3402859999987
4750.0,5500.0,274.392065,274.392166,11161732.0,1223.3402859999987
5000.0,5500.0,287.136726,287.136835,11161732.0,1223.3402850000057
5250.0,5500.0,303.621004,303.621096,11161732.0,1205.4580519999945
5500.0,5500.0,315.890534,315.890627,11161732.0,1205.458053000002
250.0,5000.0,17.197901,17.198028,11161732.0,1163.4745519999997
500.0,5000.0,31.60041,31.600497,11161732.0,1163.474553
750.0,5000.0,45.691585,45.69168,11161732.0,1212.1346830000039
1000.0,5000.0,60.247566,60.247658,11161732.0,1212.1346829999966
1250.0,5000.0,74.07417,74.074265,11161732.0,1212.1346840000042
1500.0,5000.0,89.031226,89.031313,11161732.0,1235.5170149999976
1750.0,5000.0,102.67212,102.672214,11161732.0,1235.5170149999976
2000.0,5000.0,117.796117,117.796264,11161732.0,1235.5170140000046
2250.0,5000.0,131.067247,131.067345,11161732.0,1235.5170149999904
2500.0,5000.0,146.25879,146.258892,11161732.0,1234.7751680000074
2750.0,5000.0,159.681651,159.681751,11161732.0,1234.7751679999928
3000.0,5000.0,174.743395,174.743488,11161732.0,1234.7751669999998
3250.0,5000.0,188.247792,188.247905,11161732.0,1234.7751680000074
3500.0,5000.0,203.137785,203.137884,11161732.0,1234.7751679999928
3750.0,5000.0,217.357279,217.357372,11161732.0,1223.340286000006
4000.0,5000.0,232.396096,232.396199,11161732.0,1223.3402849999984
4250.0,5000.0,246.633076,246.633177,11161732.0,1223.340286000006
4500.0,5000.0,260.076528,260.076615,11161732.0,1223.3402859999915
4750.0,5000.0,274.207812,274.207904,11161732.0,1223.340286000006
5000.0,5000.0,287.692012,287.692135,11161732.0,1223.3402859999915
250.0,4500.0,17.507155,17.507292,11161732.0,1163.4745519999997
500.0,4500.0,31.437804,31.437908,11161732.0,1163.4745530000073
750.0,4500.0,46.147033,46.147135,11161732.0,1212.1346829999966
1000.0,4500.0,59.935366,59.935466,11161732.0,1212.1346840000042
1250.0,4500.0,75.009796,75.009891,11161732.0,1212.1346829999966
1500.0,4500.0,88.888394,88.888487,11161732.0,1235.517015000005
1750.0,4500.0,102.718778,102.718867,11161732.0,1235.5170149999904
2000.0,4500.0,117.148974,117.149078,11161732.0,1235.517015000005
2250.0,4500.0,131.174132,131.174224,11161732.0,1235.517015000005
2500.0,4500.0,146.195242,146.195398,11161732.0,1234.7751669999998
2750.0,4500.0,161.089386,161.089506,11161732.0,1234.7751679999928
3000.0,4500.0,175.626094,175.626184,11161732.0,1234.7751680000074
3250.0,4500.0,189.034897,189.035003,11161732.0,1234.7751669999998
3500.0,4500.0,203.357274,203.35738,11161732.0,1234.7751679999928
3750.0,4500.0,218.044173,218.044344,11161732.0,1223.340286000006
4000.0,4500.0,232.710536,232.71063,11161732.0,1223.3402849999984
4250.0,4500.0,246.898639,246.898735,11161732.0,1223.340286000006
4500.0,4500.0,260.501026,260.501126,11161732.0,1223.3402859999915
250.0,4000.0,17.531261,17.531344,11161732.0,1163.4745530000073
500.0,4000.0,31.480427,31.480526,11161732.0,1163.4745529999927
750.0,4000.0,46.017947,46.018063,11161732.0,1212.1346829999966
1000.0,4000.0,60.216295,60.216393,11161732.0,1212.1346830000111
1250.0,4000.0,75.088655,75.088765,11161732.0,1212.1346829999966
1500.0,4000.0,89.377474,89.377572,11161732.0,1235.517015000005
1750.0,4000.0,104.146707,104.146802,11161732.0,1235.5170149999904
2000.0,4000.0,118.00603,118.006119,11161732.0,1235.517015000005
2250.0,4000.0,131.68315,131.683258,11161732.0,1235.517015000005
2500.0,4000.0,146.974667,146.974761,11161732.0,1234.7751679999928
2750.0,4000.0,161.025072,161.025188,11161732.0,1234.7751669999998
3000.0,4000.0,175.607068,175.607191,11161732.0,1234.7751680000074
3250.0,4000.0,189.441215,189.441327,11161732.0,1234.7751679999928
3500.0,4000.0,203.123433,203.12353,11161732.0,1234.7751669999998
3750.0,4000.0,217.052865,217.052972,11161732.0,1223.340286000006
4000.0,4000.0,233.641019,233.641108,11161732.0,1223.3402859999915
