subsets,resolution,astar,total,num_points
250.0,6000.0,16.449899,16.450083,11161732
500.0,6000.0,30.633594,30.6337,11161732
750.0,6000.0,44.897551,44.897644,11161732
1000.0,6000.0,59.902777,59.902868,11161732
1250.0,6000.0,75.700904,75.701013,11161732
1500.0,6000.0,90.908582,90.908686,11161732
1750.0,6000.0,106.471391,106.471495,11161732
2000.0,6000.0,122.041485,122.041577,11161732
2250.0,6000.0,137.634175,137.634266,11161732
2500.0,6000.0,153.346348,153.346422,11161732
2750.0,6000.0,169.340744,169.340833,11161732
3000.0,6000.0,183.601695,183.601795,11161732
3250.0,6000.0,198.448192,198.448304,11161732
3500.0,6000.0,212.797168,212.797249,11161732
3750.0,6000.0,226.48899,226.489079,11161732
4000.0,6000.0,243.516755,243.516845,11161732
4250.0,6000.0,258.891059,258.891145,11161732
4500.0,6000.0,273.642841,273.642932,11161732
4750.0,6000.0,289.940356,289.940448,11161732
5000.0,6000.0,304.150407,304.150494,11161732
5250.0,6000.0,321.315611,321.315721,11161732
5500.0,6000.0,335.655126,335.655235,11161732
5750.0,6000.0,348.081174,348.081277,11161732
6000.0,6000.0,363.489848,363.489975,11161732
250.0,5500.0,17.589656,17.589857,11161732
500.0,5500.0,32.202165,32.202263,11161732
750.0,5500.0,47.374419,47.374505,11161732
1000.0,5500.0,61.953341,61.953443,11161732
1250.0,5500.0,76.753022,76.753106,11161732
1500.0,5500.0,91.268918,91.269017,11161732
1750.0,5500.0,107.088164,107.088706,11161732
2000.0,5500.0,122.27849,122.278574,11161732
2250.0,5500.0,137.980898,137.980982,11161732
2500.0,5500.0,153.49768,153.497777,11161732
2750.0,5500.0,168.820862,168.820947,11161732
3000.0,5500.0,183.404841,183.404923,11161732
3250.0,5500.0,198.145461,198.145579,11161732
3500.0,5500.0,212.793493,212.79358,11161732
3750.0,5500.0,228.157526,228.157609,11161732
4000.0,5500.0,242.8402,242.840303,11161732
4250.0,5500.0,258.235418,258.235515,11161732
4500.0,5500.0,274.579309,274.579435,11161732
4750.0,5500.0,288.799377,288.799539,11161732
5000.0,5500.0,303.764742,303.764847,11161732
5250.0,5500.0,318.759184,318.759314,11161732
5500.0,5500.0,333.640635,333.640734,11161732
250.0,5000.0,17.754562,17.754702,11161732
500.0,5000.0,32.065351,32.065436,11161732
750.0,5000.0,46.855007,46.85509,11161732
1000.0,5000.0,61.641089,61.641172,11161732
1250.0,5000.0,77.05603,77.056116,11161732
1500.0,5000.0,91.588052,91.588146,11161732
1750.0,5000.0,106.75208,106.752203,11161732
2000.0,5000.0,122.690642,122.690732,11161732
2250.0,5000.0,138.059308,138.059414,11161732
2500.0,5000.0,153.217139,153.217235,11161732
2750.0,5000.0,168.014265,168.014369,11161732
3000.0,5000.0,183.708943,183.709046,11161732
3250.0,5000.0,197.611458,197.611545,11161732
3500.0,5000.0,212.518513,212.518622,11161732
3750.0,5000.0,227.311711,227.311798,11161732
4000.0,5000.0,243.990311,243.990639,11161732
4250.0,5000.0,259.069734,259.069848,11161732
4500.0,5000.0,273.505079,273.505159,11161732
4750.0,5000.0,286.762006,286.762517,11161732
5000.0,5000.0,303.246874,303.246969,11161732
250.0,4500.0,17.562177,17.562305,11161732
500.0,4500.0,32.046384,32.046483,11161732
750.0,4500.0,46.754876,46.754973,11161732
1000.0,4500.0,62.018595,62.018712,11161732
1250.0,4500.0,76.794738,76.794827,11161732
1500.0,4500.0,91.686598,91.686712,11161732
1750.0,4500.0,106.32746,106.327533,11161732
2000.0,4500.0,122.680386,122.680485,11161732
2250.0,4500.0,138.050148,138.050263,11161732
2500.0,4500.0,152.666049,152.66614,11161732
2750.0,4500.0,168.599838,168.600026,11161732
3000.0,4500.0,182.701376,182.701465,11161732
3250.0,4500.0,196.865248,196.865357,11161732
3500.0,4500.0,212.908366,212.908478,11161732
3750.0,4500.0,228.23625,228.236358,11161732
4000.0,4500.0,241.672379,241.672465,11161732
4250.0,4500.0,259.387202,259.387302,11161732
4500.0,4500.0,273.103745,273.103887,11161732
